TargetName	FLT_TX_2 | 003 | Full ROI	FLT_TX_2 | 007 | Full ROI	FLT_TX_2 | 011 | Full ROI	GC_SAL_2 | 001 | Full ROI	GC_SAL_2 | 005 | Full ROI	GC_SAL_2 | 009 | Full ROI	GC_TX_2 | 003 | Full ROI	GC_TX_2 | 007 | Full ROI	GC_TX_2 | 011 | Full ROI	FLT_SAL_2 | 003 | Full ROI	FLT_SAL_2 | 007 | Full ROI	FLT_SAL_2 | 011 | Full ROI
Rhbdd2	44.31131098	40.91252225	51.27962198	37.91663962	41.5926537	51.79462536	40.02311959	41.50545736	36.38465418	52.03005547	42.16721529	46.76858919
Gstt4	10.0057799	21.34566378	13.75794736	18.95831981	21.97347742	18.83440922	20.55241276	20.75272868	16.37309438	24.01387176	22.87035405	22.03520068
B4galt4	32.87613395	25.79267707	18.76083731	25.27775974	28.25161383	25.89731268	18.38900089	29.64675526	21.83079251	26.30090716	22.15565549	32.37825405
Olfr328	28.58794257	32.01849568	31.26806218	36.86339963	22.75824448	32.96021614	30.28776618	33.35259966	33.65580511	31.44673682	37.16432534	29.23036824
Kmt2a	82.90503345	70.26280995	83.79840665	71.62031927	74.55286983	87.10914265	106.0071816	103.0224745	118.2501261	61.17819709	70.75515785	78.69714527
S100a16	44.31131098	40.02311959	40.02311959	41.07635958	47.8707901	41.20027017	46.5133552	36.31727519	28.19810699	42.88191385	42.16721529	31.92855608
Npy4r	24.29975118	16.00924784	20.0115598	28.43747971	14.12580692	23.54301153	31.36947211	16.30571539	37.29427053	25.15738946	24.29975118	21.5855027
Kifbp	57.17588513	61.36878338	57.53323442	47.39579952	43.94695485	62.38898054	58.41212049	50.39948393	47.30005043	50.31477892	61.46407652	64.30681013
Cyb5rl	24.29975118	30.23969036	26.26517223	18.95831981	24.32777858	25.89731268	24.8792365	22.23506644	32.74618876	33.73377223	25.01444975	17.53822095
Trib2	44.31131098	28.46088504	25.01444975	29.4907197	29.03638088	24.7201621	45.43164927	28.90558637	24.55964157	19.43980095	20.72625836	24.28369054
Aebp2	51.45829662	52.4747568	55.03178944	69.5138393	58.07276176	56.50322766	59.49382642	50.39948393	51.8481322	45.74070811	33.59083252	52.61466284
Shd	32.87613395	35.57610631	35.02022965	15.79859984	27.46684678	17.65725864	23.79753057	31.8702619	28.19810699	28.58794257	29.30264113	35.52613986
Ndufs7	51.45829662	56.03236743	62.53612437	71.62031927	53.36415946	68.27473343	46.5133552	62.99935492	40.02311959	50.31477892	67.8963636	64.75650811
Ndufs2	50.02889949	57.81117275	55.03178944	52.66199947	49.4403242	48.26317363	47.59506114	67.44636821	63.67314481	57.74764399	50.74359806	57.56134054
Sec61a2	40.02311959	35.57610631	48.77817701	32.65043967	43.1621878	36.49166787	37.85970772	40.76428848	33.65580511	48.59950236	45.74070811	44.07040135
Rabac1	74.32865068	95.16608437	88.8012966	74.78003924	78.47670509	82.40054034	82.20965106	71.89338149	72.76930835	84.04855115	105.7753875	88.1408027
Lipc	18.58216267	16.8986505	13.75794736	13.69211986	14.12580692	18.83440922	17.30729496	17.78805315	18.19232709	19.43980095	19.29686123	26.08248243
Tatdn2	51.45829662	47.13834086	55.03178944	56.87495942	44.7317219	49.4403242	51.92188488	60.77584827	55.48659762	48.59950236	43.59661242	54.8631527
Nkap	35.73492821	16.8986505	27.51589472	30.54395969	21.97347742	16.48010807	23.79753057	12.59987098	25.46925792	32.59025453	23.58505262	23.38429459
